ORDERNUMBER,Customer Name,Sales,Quantity Ordered,Price Each,MSRP,Mark Up/Down,Product Line,Order Line Number,Product Code,Order Date,Month,Year,Status,Quarter ID,Deal Size,Small Deal,Medium Deal,Large Deal,Contact Last Name,Contact First Name,Phone,Address,City,State,Postal Code,Country,Territory,Classic Cars,Motorcycles,Planes,Ships,Trains,Trucks and Buses,Vintage Cars
10107,Land of Toys Inc.,2871.0,30,95.7,95.0,0.7000000000000028,Motorcycles,2,S10_1678,2003-02-24,February,2003,Shipped,1,Small Deal,1,0,0,Yu,Kwai,2125557818,897 Long Airport Avenue  ,NYC,NY,10022,USA,AMER,0,1,0,0,0,0,0
10121,Reims Collectables,2765.9,34,81.35,95.0,-13.650000000000006,Motorcycles,5,S10_1678,2003-05-07,May,2003,Shipped,2,Small Deal,1,0,0,Henriot,Paul,26.47.1555,59 rue de l'Abbaye  ,Reims,N/A,51100,France,EMEA,0,1,0,0,0,0,0
10134,Lyon Souveniers,3884.34,41,94.74,95.0,-0.2600000000000051,Motorcycles,2,S10_1678,2003-07-01,July,2003,Shipped,3,Medium Deal,0,1,0,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia  ,Paris,N/A,75508,France,EMEA,0,1,0,0,0,0,0
10145,Toys4GrownUps.com,3746.7,45,83.26,95.0,-11.739999999999995,Motorcycles,6,S10_1678,2003-08-25,August,2003,Shipped,3,Medium Deal,0,1,0,Young,Julie,6265557265,78934 Hillside Dr.  ,Pasadena,CA,90003,USA,AMER,0,1,0,0,0,0,0
10159,Corporate Gift Ideas Co.,5205.27,49,100.0,95.0,5.0,Motorcycles,14,S10_1678,2003-10-10,October,2003,Shipped,4,Medium Deal,0,1,0,Brown,Julie,6505551386,7734 Strong St.  ,San Francisco,CA,N/A,USA,AMER,0,1,0,0,0,0,0
10168,Technics Stores Inc.,3479.76,36,96.66,95.0,1.6599999999999966,Motorcycles,1,S10_1678,2003-10-28,October,2003,Shipped,4,Medium Deal,0,1,0,Hirano,Juri,6505556809,9408 Furth Circle  ,Burlingame,CA,94217,USA,AMER,0,1,0,0,0,0,0
10180,Daedalus Designs Imports,2497.77,29,86.13,95.0,-8.870000000000005,Motorcycles,9,S10_1678,2003-11-11,November,2003,Shipped,4,Small Deal,1,0,0,Rance,Martine,20.16.1555,"184, chausse de Tournai  ",Lille,N/A,59000,France,EMEA,0,1,0,0,0,0,0
10188,Herkku Gifts,5512.32,48,100.0,95.0,5.0,Motorcycles,1,S10_1678,2003-11-18,November,2003,Shipped,4,Medium Deal,0,1,0,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum  ",Bergen,N/A,N 5804,Norway,EMEA,0,1,0,0,0,0,0
10201,Mini Wheels Co.,2168.54,22,98.57,95.0,3.569999999999993,Motorcycles,2,S10_1678,2003-12-01,December,2003,Shipped,4,Small Deal,1,0,0,Murphy,Julie,6505555787,5557 North Pendale Street  ,San Francisco,CA,N/A,USA,AMER,0,1,0,0,0,0,0
10211,Auto Canal Petit,4708.44,41,100.0,95.0,5.0,Motorcycles,14,S10_1678,2004-01-15,January,2004,Shipped,1,Medium Deal,0,1,0,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston  ",Paris,N/A,75016,France,EMEA,0,1,0,0,0,0,0
